,cluster_A,cluster_B,cluster_C,il,ilce,mahalle,fiyat,net_alan,brut_alan,bina_yasi,kat_sayisi,bulundugu_kat,oda_sayisi,toplam_oda_sayisi,isitma,esya,kullanim_durumu,kredi_durumu,lat,lng,konum
0,0,1,0,İstanbul,Adalar,Heybeliada,2750000,100,110,33,3,3, 3 + 1 ,4,2,2,0,1,40.8741659,29.1293251,"40.8741659, 29.1293251"
1,0,1,0,İstanbul,Adalar,Nizam,13000000,170,185,28,3,3, 3 + 1 ,4,2,0,2,1,40.8741659,29.1293251,"40.8741659, 29.1293251"
2,0,1,0,İstanbul,Adalar,Nizam,9500000,140,160,38,2,1, 3 + 1 ,4,2,1,0,1,40.8741659,29.1293251,"40.8741659, 29.1293251"
3,0,1,0,İstanbul,Adalar,Heybeliada,10000000,219,220,0,3,3, 4 + 1 ,5,2,0,0,1,40.8741659,29.1293251,"40.8741659, 29.1293251"
4,0,1,0,İstanbul,Adalar,Heybeliada,3900000,105,137,33,4,3, 3 + 1 ,4,2,0,0,1,40.8741659,29.1293251,"40.8741659, 29.1293251"
5,0,1,0,İstanbul,Adalar,Heybeliada,4500000,152,198,33,4,4, 4 + 1 ,5,2,0,0,1,40.8741659,29.1293251,"40.8741659, 29.1293251"
6,0,1,0,İstanbul,Adalar,Heybeliada,3900000,105,137,33,4,3, 3 + 1 ,4,2,0,2,1,40.8741659,29.1293251,"40.8741659, 29.1293251"
7,0,1,0,İstanbul,Adalar,Heybeliada,4000000,70,75,28,4,0, 2 + 1 ,3,2,0,1,0,40.8741659,29.1293251,"40.8741659, 29.1293251"
8,0,1,0,İstanbul,Adalar,Heybeliada,5500000,155,165,23,3,3, 3 + 1 ,4,2,0,1,1,40.8741659,29.1293251,"40.8741659, 29.1293251"
9,0,1,0,İstanbul,Adalar,Maden,4900000,130,140,33,3,3, 3 + 1 ,4,2,0,0,1,40.8741659,29.1293251,"40.8741659, 29.1293251"
10,0,1,0,İstanbul,Adalar,Nizam,8800000,165,175,43,3,1, 4 + 1 ,5,3,0,0,1,40.8741659,29.1293251,"40.8741659, 29.1293251"
11,0,1,0,İstanbul,Adalar,Nizam,6750000,130,140,28,3,0, 3 + 1 ,4,2,0,0,1,40.8741659,29.1293251,"40.8741659, 29.1293251"
12,0,1,0,İstanbul,Adalar,Maden,9600000,130,140,43,3,1, 3 + 1 ,4,2,0,2,1,40.8741659,29.1293251,"40.8741659, 29.1293251"
13,0,1,0,İstanbul,Adalar,Heybeliada,6250000,160,170,18,3,3, 4 + 1 ,5,2,0,0,1,40.8741659,29.1293251,"40.8741659, 29.1293251"
14,0,1,0,İstanbul,Adalar,Heybeliada,6000000,250,260,33,7,0, 4 + 1 ,5,2,1,2,1,40.8741659,29.1293251,"40.8741659, 29.1293251"
