,net_alan,brut_alan,kredi_durumu,kat_sayisi,isitma,bulundugu_kat,bina_yasi,esya,kullanim_durumu,fiyat,il,ilce,mahalle,oda_sayisi,toplam_oda_sayisi,lat,lng
0,100,110,1,3,2,3,33,2,0,2750000,İstanbul,Adalar,Heybeliada, 3 + 1 ,4,40.8741659,29.1293251
1,70,75,1,4,2,2,28,1,0,2250000,İstanbul,Adalar,Heybeliada, 2 + 1 ,3,40.8741659,29.1293251
2,80,90,1,3,2,3,38,0,2,3500000,İstanbul,Adalar,Nizam, 2 + 1 ,3,40.8741659,29.1293251
3,56,80,1,3,2,2,28,4,0,2800000,İstanbul,Adalar,Heybeliada, 2 + 1 ,3,40.8741659,29.1293251
4,70,75,0,4,2,0,28,0,1,3000000,İstanbul,Adalar,Heybeliada, 2 + 1 ,3,40.8741659,29.1293251
5,85,100,1,5,2,4,8,0,0,1400000,İstanbul,Arnavutköy,Hadımköy, 2 + 1 ,3,41.0671774,29.0432713
6,95,100,1,4,2,3,0,0,0,1450000,İstanbul,Arnavutköy,Mustafa Kemal Paşa, 2 + 1 ,3,41.0671774,29.0432713
7,85,90,1,4,2,1,0,0,0,1400000,İstanbul,Arnavutköy,Haraççı, 2 + 1 ,3,41.0671774,29.0432713
8,75,82,1,10,2,0,8,0,2,1230000,İstanbul,Arnavutköy,Deliklikaya, 2 + 1 ,3,41.0671774,29.0432713
9,90,95,1,5,2,2,8,0,2,1300000,İstanbul,Arnavutköy,İslambey, 2 + 1 ,3,41.0671774,29.0432713
10,85,95,1,5,2,3,8,0,0,1175000,İstanbul,Arnavutköy,Hastane, 2 + 1 ,3,41.0671774,29.0432713
11,60,80,0,1,2,-1,8,0,0,680000,İstanbul,Arnavutköy,Bolluca, 1 + 1 ,2,41.0671774,29.0432713
12,90,100,1,4,2,1,8,0,0,1550000,İstanbul,Arnavutköy,İslambey, 2 + 1 ,3,41.0671774,29.0432713
13,64,84,1,15,2,7,8,0,1,1275000,İstanbul,Arnavutköy,Deliklikaya, 2 + 1 ,3,41.0671774,29.0432713
14,100,120,1,6,2,1,0,0,0,1399000,İstanbul,Arnavutköy,Yunus Emre, 3 + 2 ,5,41.0671774,29.0432713
15,100,115,0,3,2,2,8,0,2,1600000,İstanbul,Arnavutköy,Arnavutköy Merkez, 2 + 1 ,3,41.0671774,29.0432713
16,90,100,1,5,2,2,0,3,0,1650000,İstanbul,Arnavutköy,Anadolu, 2 + 1 ,3,41.0671774,29.0432713
17,85,95,1,3,2,2,8,0,1,1299000,İstanbul,Arnavutköy,Haraççı, 2 + 1 ,3,41.0671774,29.0432713
